des_time,des_pos,des_vel,des_tau,meas_time,meas_pos,meas_vel,meas_tau
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.730305867073628795e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.446463389298846952e-06,1.887725656190331926e-03,5.681851896687716702e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000042e-02,3.961731146245810973e-05,4.143953752518578400e-03,6.626044915113819822e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.999999999999999889e-02,9.415402154956499579e-05,6.759861698147847514e-03,7.561000305097111129e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000000000000000083e-02,1.766027195369746406e-04,9.725205859792812255e-03,8.484843332280059269e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000000000000000278e-02,2.904001156000673989e-04,1.302835123324380326e-02,9.395714254287058920e-02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.999999999999999778e-02,4.388597599420552414e-04,1.665630575951861786e-02,1.029177085564580013e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
7.000000000000000666e-02,6.251586594239382042e-04,2.059475817282299670e-02,1.117119278295052864e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.000000000000000167e-02,8.523242935644159473e-04,2.482812001079857250e-02,1.203218514111315668e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
8.999999999999999667e-02,1.123222069570703257e-03,2.933957139365287251e-02,1.287298194080010449e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000056e-01,1.440543253276307771e-03,3.411111040853755105e-02,1.369184974967297685e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.100000000000000006e-01,1.806793411897806775e-03,3.912360606994617906e-02,1.448709122197702481e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.199999999999999956e-01,2.224281403546380601e-03,4.435685469022625921e-02,1.525704881829078874e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.300000000000000044e-01,2.695108947363536022e-03,4.978963961280016837e-02,1.600010759537349447e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.400000000000000133e-01,3.221160805407885172e-03,5.539979380737497516e-02,1.671469924231543669e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.499999999999999944e-01,3.804095606739920418e-03,6.116426569131881014e-02,1.739930504218856200e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.600000000000000033e-01,4.445337343120657481e-03,6.705918760746283624e-02,1.805245900215773913e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.700000000000000122e-01,5.146067562509180557e-03,7.305994688167305462e-02,1.867275115022967169e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.799999999999999933e-01,5.907218285749808034e-03,7.914125937800861599e-02,1.925883014804502247e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.900000000000000022e-01,6.729465669295709579e-03,8.527724512517660671e-02,1.980940690215365896e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000111e-01,7.613224435899605506e-03,9.144150625690963818e-02,2.032325647823079173e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.099999999999999922e-01,8.558643092217384230e-03,9.760720642749273757e-02,2.079922159851388952e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.200000000000000011e-01,9.565599950433283441e-03,1.037471521729534801e-01,2.123621446486181619e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.300000000000000100e-01,1.063369996918590507e-02,1.098338753824491948e-01,2.163321984727699099e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.399999999999999911e-01,1.176227242659342448e-02,1.158397172184287005e-01,2.198929662694461551e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.500000000000000000e-01,1.295036943592648045e-02,1.217369126978345983e-01,2.230358115101457039e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.600000000000000089e-01,1.419676531331035864e-02,1.274976764878470448e-01,2.257528787432930006e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.700000000000000178e-01,1.549995680331299475e-02,1.330942886589652763e-01,2.280371224901499017e-01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
